year,quadrant,plantation,plantation_standard,owner,owner_name_varients,owner_surname,owner_nationality,field_worker_male_adult,field_worker_female_adult,field_worker_male_teen,field_worker_female_teen,field_worker_male_child,field_worker_female_child,field_worker_incapable,maroons,house_worker_male,house_worker_female,artisan_worker,creole,african,total,married_couples,unmarried_couples,missing_men_adult,missing_female_adult,missing_men_child,missing_female_child,missing_total,animal_cattle_male,animal_cattle_female,animal_goats_sheep,animal_mules,animal_horses,acre_sugar,acre_provision,acre_fallow,acre_woodland,acre_cotton,acre_for_enslaved,acre_total,avg_harvest_sugar,avg_harvest_rum,avg_harvest_cotton,unused_acre_sugar,unused_acre_cotton,link
1792,Oost_Ende_A,Mount Washington,,John Gordon,Doctor John Gordon; John Gordon M.D.,Gordon,Scottish,22,16,8,4,3,3,7,,,1,1,14,51,65,2,12,6,12,6,12,36,9,13,170,18,2,140,60,95,30,30,20,375,60,30,5000,20,120,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,All for the better,,Johannes Rogiers,,Rogiers,,3,3,2,,,,,,,,,,8,8,,,4,8,2,2,16,1,,49,,1,,5,15,20,35,,75,,,2400,25,10,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Sight,,William Hartmann,William Hartman,Hartmann,,19,17,3,1,2,3,5,,5,10,4,39,30,69,,6,,,,,,11,7,56,17,5,150,30,30,,,15,225,40,20,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Eindracht,,John Thompson,Doctor Thompson; John Sain[...] Thompson,Thompson,English,2,3,,,,,4,,1,1,,3,8,11,,2,7,7,5,6,25,,2,,2,,,2,35,,11,2,50,,,2000,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Lowryhill,Lowrys hill,John Stridiron,John Stridjron,Stridiron,,13,16,3,7,3,5,5,,2,5,2,38,23,61,,6,10,10,10,10,40,,7,17,6,4,70,8,30,76,6,10,200,30,12,,50,20,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Jacobs Bierg,,Peter Duncan,Doctor Duncan,Duncan,,2,2,,,,,,,3,10,,10,7,17,,3,,,,,,,,,,,,10,40,,,,50,,,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Cairna Mount,,,,,,8,4,6,3,,2,2,,,1,,6,20,26,,2,,6,4,2,12,,,,,,,15,10,35,80,10,150,,,6000,,30,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Nr. 26,,John Ryan,,Ryan,Irish,3,,,,,,,,,,,,3,3,,,,,,,,,,183,,,,,,70,,20,90,,,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Munster,,Benjamen Biggs,Doctor Biggs; Doct. Benjamen Biggs,Biggs,,8,8,,1,5,,5,,1,1,,10,19,29,2,4,,,10,10,20,3,8,64,,3,,12,30,18,80,10,150,,,10000,,30,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Golden Coast,,Gerhard F. Wrisberg,Gerhard Wrisborg; Gerhard F. Wriiberg,Wrisberg,,8,8,4,3,3,,1,,,,,13,14,27,2,3,8,8,,,16,,17,25,,1,,3,30,17,30,5,125,,,4000,,40,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Petronella,,Søren Colbiornsen,Regierings raad Colbiornsen,Colbiornsen,,40,38,7,7,11,8,4,,1,3,5,34,90,124,,21,,,,,,18,15,84,23,7,160,,40,50,30,20,300,,,,20,20,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Nr. 31,,David Beckmand,,Beckmand,,2,1,2,,,,,,,,,2,3,5,,,,,,,,,11,46,4,1,,,75,,,,75,,,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Cottongrove,Cotton Grove,Peter Duncan,Doctor Duncan,Duncan,,14,4,3,2,4,2,9,2,,4,1,21,24,45,3,,,6,8,6,20,1,15,38,1,2,,20,15,195,200,20,450,,,15000,,150,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Great Pond,,George Biggs,,Biggs,,26,17,12,7,6,4,5,,1,5,5,41,47,88,,14,,,10,10,20,15,13,50,5,3,200,30,100,,40,30,400,100,50,4000,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Fareham,,John Goodchilds,,Goodchild,,10,12,2,1,1,2,1,,,,2,6,25,31,,4,,,16,24,40,4,16,37,1,2,,,118,,82,,200,,,4500,,95,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Nugent,,Pastor Goodchilds Arv,Goodchilds Arv,Goodchild,,3,10,2,4,3,2,4,1,2,5,,23,13,36,,5,6,8,6,10,30,1,6,25,,1,,33,92,15,70,15,225,,,3500,,65,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Spring,,Joseph Stallard,,Stallard,,9,9,2,3,1,,,,,1,,12,13,25,,,,,,,,,6,25,,1,,10,15,,45,,75,,,2000,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,The Springs,,George Mardenborough,George Mardenbrough,Mardenborough,,7,6,2,,3,1,,,1,4,,17,7,24,,5,5,7,,,12,,4,,,2,,5,17,15,30,8,75,,,5000,,20,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,The Springs,,Peter Duncan,Doctor Duncan,Duncan,,8,2,1,1,2,,2,,,,,6,10,16,,2,,6,3,3,12,,,,,,,8,15,30,40,8,100,,,30000,,20,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Annas Hope,,Joseph Harragan,Josia Harrigan; Josia Harragan,Harragan,,6,4,,,7,5,,2,,,,18,6,24,,,10,5,,,15,,,,,1,,5,,45,20,5,75,,,4000,,45,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_A,Southgate farm,Southgate farm,Thomas Bourke,Thomas Bourk,Bourke,Irish,26,38,8,3,10,9,,,2,7,7,58,52,110,,10,20,10,5,5,40,18,52,,9,9,200,,75,5,40,5,325,50,20,5000,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788343"
1792,Oost_Ende_B,,,John Carden,John Cardon; John Gardon,Carden,,45,39,9,7,7,8,15,,4,6,4,84,60,144,,21,5,10,5,10,30,8,12,80,20,4,150,20,40,20,,13,243,50,25,,40,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Solitude,,Rapzart Heyliger,Rapzard Heyliger,Heyliger,Dutch,6,10,3,1,6,2,2,,,,,15,15,30,,6,8,8,4,4,24,2,12,74,2,2,,8,20,60,125,12,225,,,6000,,125,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Pleasant Vally,,Daniel Mollet,,Mollet,,7,8,1,2,3,1,2,,,,,17,7,24,,1,,,,,,,9,,4,4,30,5,12,10,15,3,75,10,5,1000,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Little Profit,Little Profit,William Rayne,William Rÿen,Rayne,,9,6,2,1,3,1,3,,4,,,15,14,29,,3,6,8,6,6,26,2,14,64,,3,,7,40,50,40,13,150,,,2000,,60,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Fannys Fancy,,George Strederon,George Stridjron,Stridiron,,4,2,2,1,2,4,2,2,,4,,17,6,23,,,,,6,4,10,,2,12,,2,,5,10,17,15,3,50,,,1000,,27,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Nr. 15,,Arthur Carty,,Carty,,8,3,1,,1,1,2,,5,3,,15,9,24,,,,,10,10,20,1,4,15,,2,,10,80,35,45,5,175,,,3000,,80,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Grove,,Edmund Shoy,Edmund Schoÿ,Shoy,,17,10,2,4,,,3,,,4,,17,23,40,,2,,,20,30,50,1,3,30,,1,,10,30,137,10,50,237,,,7000,,137,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Nr. 17,,,,,,4,1,3,,4,2,3,1,,4,,17,5,22,,2,,,2,2,4,,6,,,2,,4,13,,7,1,25,,,1500,,13,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Catharinas Hope,Catharinas Hope,Joseph Lake,Josep Lacke,Lake,,4,1,1,3,2,,2,1,1,6,,18,3,21,,,,,5,5,10,,3,91,,2,,14,40,60,30,6,150,,,2000,,60,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Tague Bay,Tague Bay,Peter Heyliger Abz,,Heyliger,Dutch,18,10,5,5,3,2,,,,,,26,17,43,,,6,14,,,20,4,8,130,,1,,20,60,75,100,20,275,,,10000,,90,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,,,,,,,8,6,,,2,,,,1,,,10,7,17,,,,,,,,,2,25,,1,,10,180,80,20,10,300,,,1500,,150,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Cotton Garden,,John G. Thomas,John George Thomas,Thomas,,19,20,2,4,6,18,,,,7,,65,11,76,,12,10,,4,6,20,,,,,1,,15,100,115,130,15,375,,,15000,,115,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
1792,Oost_Ende_B,Mary Fancy,,Mathias Block,,Block,,5,5,7,6,6,4,1,,4,10,1,27,22,49,,5,14,6,2,2,24,1,16,86,,2,,16,80,,80,4,180,,,60000,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788341"
