Year of arrival at port of disembarkation,Voyage ID,Vessel name,Flag of vessel,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Voyage itinerary first place of slave landing (sla1port) ,Voyage itinerary second place of slave landing (adpsale1) ,Total disembarked,Captain's name
1793,83817,Tom,Great Britain,Congo River,St. Croix,St. Croix,,216,"Brine, John"
1797,83826,Tonyn,Great Britain,Calabar,St. Croix,St. Croix,,314,"Smith, Thomas<br/> Conning"
1768,75493,Fly,Great Britain,Cape Mount (Cape Grand Mount),St. Croix,St. Croix,,174,"Taylor, Alexander"
1760,76259,Truman,Great Britain,Gambia,St. Croix,St. Croix,,150,Forrest
1758,76981,Trueman,Great Britain,Gambia,St. Croix,St. Croix,,200,"Urquhart, Alexander"
1758,77247,Enterprize,Great Britain,Gambia,St. Croix,St. Croix,,65,"Forrest, Robert"
1766,77822,Squirrel,Great Britain,"Africa, port unspecified",St. Croix,St. Croix,,127,"Fisher, Thomas"
1776,91839,Dreadnought,Great Britain,Calabar,St. Croix,St. Croix,,130,"Cooper, John"
1776,92517,Bostock,Great Britain,Bonny,St. Croix,St. Croix,,328,"Briggs, James"
1775,92564,Traffick,Great Britain,"Windward Coast, place unspecified",St. Croix,St. Croix,,288,"Blower, Thomas"
1802,70011,Volta,U.S.A.,"Africa, port unspecified",St. Croix,St. Croix,,126,Slocum
1760,70021,Cassada Garden,U.S.A.,"Africa, port unspecified",St. Croix,St. Croix,,3,Taylor Thom
1760,36232,Marygold,U.S.A.,Anomabu,St. Croix,St. Croix,,112,"Taylor, Thomas Teackle"
1762,36259,Molly,U.S.A.,Cape Coast Castle,St. Croix,St. Croix,,51,"Allen, John"
1767,36335,Nelly,U.S.A.,"Gold Coast, port unspecified",St. Croix,St. Croix,,113,"Bull, Nathan"
1762,90874,Eadith,Great Britain,Gambia,St. Croix,St. Croix,,131,"Jordan, Thomas<br/> Rabine"
1770,91579,Friendship,Great Britain,Sierra Leone estuary,St. Croix,St. Croix,,288,"Saul, William"
